Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-10-08,WIPRO,EQ,335.3,351.0,367.75,346.45,359.9,359.45,357.55,107270570,3835413105405000.5,589024,14313852,0.1334
2020-10-09,WIPRO,EQ,359.45,362.0,376.1,357.25,375.25,374.0,365.8,55431052,2027640405340000.2,316848,8233248,0.1485
2020-10-12,WIPRO,EQ,374.0,377.0,379.8,369.1,379.5,377.5,375.58,52966063,1989279136405000.0,302749,6456381,0.1219
2020-10-13,WIPRO,EQ,377.5,377.3,381.7,372.95,375.2,375.95,376.79,36092383,1359917912260000.0,216493,5628727,0.156
2020-10-14,WIPRO,EQ,375.95,365.0,365.0,348.3,349.4,350.45,353.61,74138275,2621597935765000.0,467861,9420306,0.12710000000000002
2020-10-15,WIPRO,EQ,350.45,351.0,354.25,338.95,341.5,341.6,343.14,38961585,1336938991610000.0,250198,3255963,0.0836
2020-10-16,WIPRO,EQ,341.6,342.9,348.1,338.6,339.1,339.65,342.55,25245262,864785636360000.0,172325,2710082,0.10740000000000001
2020-10-19,WIPRO,EQ,339.65,342.45,346.5,338.65,343.6,343.2,342.86,12848026,440510769575000.0,115688,2426799,0.1889
2020-10-20,WIPRO,EQ,343.2,344.75,349.5,341.85,347.0,346.75,347.12,16996774,589986959305000.0,180766,3638946,0.2141
2020-10-21,WIPRO,EQ,346.75,349.6,350.1,339.1,343.3,343.45,344.94,9967721,343827988110000.0,88264,2303653,0.2311
2020-10-22,WIPRO,EQ,343.45,341.0,348.2,340.85,344.0,344.45,344.51,9541284,328705670880000.0,102317,2563473,0.2687
2020-10-23,WIPRO,EQ,344.45,346.9,347.1,341.3,342.45,342.4,344.42,8673514,298733358510000.0,82630,3858558,0.4449
2020-10-26,WIPRO,EQ,342.4,343.7,344.9,336.7,339.4,339.8,341.19,8695206,296668575710000.0,71038,3422947,0.3937
2020-10-27,WIPRO,EQ,339.8,338.3,339.75,331.05,334.85,334.05,333.74,9910942,330767823915000.0,126234,3824967,0.3859
2020-10-28,WIPRO,EQ,334.05,335.75,339.85,334.4,335.0,335.65,337.29,8984606,303045866655000.0,88757,2797421,0.3114
2020-10-29,WIPRO,EQ,335.65,333.65,340.0,331.15,339.4,337.45,335.96,7239961,243233101355000.03,85115,1682867,0.2324
2020-10-30,WIPRO,EQ,337.45,339.25,345.0,338.45,341.0,340.7,341.18,11496123,392229747740000.0,87031,3007101,0.2616
2020-11-02,WIPRO,EQ,340.7,341.75,341.75,333.7,334.5,334.8,336.22,4831133,162430584500000.0,67965,1118595,0.23149999999999998
2020-11-03,WIPRO,EQ,334.8,335.5,339.45,332.65,335.5,335.65,336.36,4757798,160034027960000.0,53765,780341,0.16399999999999998
2020-11-04,WIPRO,EQ,335.65,338.0,351.55,337.5,343.3,342.95,345.59,15381900,531582626600000.0,127226,2708715,0.1761
2020-11-05,WIPRO,EQ,342.95,347.95,349.0,344.05,346.0,345.4,346.41,5602436,194071396565000.0,61720,1624184,0.2899
2020-11-06,WIPRO,EQ,345.4,346.15,349.0,343.4,348.05,345.75,344.92,5457793,188250043285000.0,45192,2420955,0.4436
2020-11-09,WIPRO,EQ,345.75,350.0,352.8,347.0,351.6,351.95,350.46,7107285,249081361335000.0,69659,1620413,0.228
2020-11-10,WIPRO,EQ,351.95,350.75,350.75,341.15,343.1,342.3,343.63,9049620,310973028435000.0,102741,2474475,0.27340000000000003
2020-11-11,WIPRO,EQ,342.3,344.5,347.75,341.5,346.6,346.75,344.53,7637879,263146243330000.03,84959,2138299,0.28
2020-11-12,WIPRO,EQ,346.75,348.0,350.7,344.3,346.55,345.55,346.81,5114424,177372228690000.0,60428,1950730,0.3814
2020-11-13,WIPRO,EQ,345.55,344.5,346.25,342.7,344.5,344.15,344.04,4727888,162658458205000.0,58805,2222870,0.47020000000000006
2020-11-14,WIPRO,EQ,344.15,347.15,347.55,343.1,345.9,345.45,345.82,749242,25910531110000.0,16861,362401,0.48369999999999996
2020-11-17,WIPRO,EQ,345.45,347.0,350.5,343.7,349.75,348.7,347.99,6653834,231546028640000.0,60908,2415807,0.36310000000000003
2020-11-18,WIPRO,EQ,348.7,349.75,352.35,341.8,345.5,345.3,345.38,7407808,255852974175000.0,82216,3001219,0.4051
2020-11-19,WIPRO,EQ,345.3,347.7,349.5,341.6,342.85,342.6,345.72,11056851,382254156085000.0,111259,3862939,0.3494
2020-11-20,WIPRO,EQ,342.6,343.8,348.5,342.05,347.0,346.3,345.96,6181393,213854506235000.0,68233,2025459,0.32770000000000005
2020-11-23,WIPRO,EQ,346.3,348.0,357.4,346.0,356.6,355.85,352.34,10333347,364089297470000.0,106325,3349439,0.3241
2020-11-24,WIPRO,EQ,355.85,359.0,361.4,355.0,356.0,355.5,357.97,10092441,361274076140000.0,107092,2538120,0.2515
2020-11-25,WIPRO,EQ,355.5,357.9,358.8,349.55,350.1,350.0,352.95,6812338,240438486135000.0,86679,2608016,0.38280000000000003
2020-11-26,WIPRO,EQ,350.0,351.0,356.4,347.2,355.85,354.85,352.19,7366370,259439350769999.97,60305,2925743,0.3972
2020-11-27,WIPRO,EQ,354.85,354.85,357.5,347.85,350.95,350.5,351.8,12402084,436306248335000.06,84716,7497319,0.6045
2020-12-01,WIPRO,EQ,350.5,352.7,353.9,346.25,353.7,352.85,350.99,10693567,375338261175000.0,100652,5290274,0.4947
2020-12-02,WIPRO,EQ,352.85,354.45,360.3,354.2,359.3,358.9,357.61,9434077,337373892275000.0,76751,3308017,0.3506
2020-12-03,WIPRO,EQ,358.9,364.0,364.0,358.0,360.05,360.3,360.33,10697045,385442351270000.0,89612,3571679,0.33390000000000003
2020-12-04,WIPRO,EQ,360.3,361.1,362.4,359.0,361.0,360.8,360.69,7427393,267897937380000.03,65761,3422311,0.4608
2020-12-07,WIPRO,EQ,360.8,362.0,362.75,357.5,358.7,358.45,359.01,8392383,301293421430000.0,100647,4177822,0.4978
2020-12-08,WIPRO,EQ,358.45,360.3,365.0,358.4,363.5,363.7,361.67,11813301,427252376035000.0,98698,4345599,0.3679
2020-12-09,WIPRO,EQ,363.7,367.75,367.75,357.5,360.35,359.5,362.22,18137688,656978140400000.0,145727,7496903,0.4133
2020-12-10,WIPRO,EQ,359.5,356.2,358.0,352.75,356.3,355.9,355.84,6897397,245436398060000.0,61672,2214846,0.3211
2020-12-11,WIPRO,EQ,355.9,357.4,360.0,352.65,353.5,353.5,355.85,5863616,208656999445000.0,51263,2227808,0.3799
